"","Age","Gender","Kids","Education","WorkStatus","AnnualIncome","CurrentOccu","CurJobYears","CurJobMonths","CommunitySize","CountryOfRes","MaritalStatus","Sons","Daughters","DP1","DP2","DP3","DP4","DP5","AIP1","AIP2","AIP3","AIP4","AIP5","AIP6","AIP7","AIP8","AIP9","AIP10","AIP11","AIP12","AIP13","AIP14","AIP15","GP1","GP2","GP3","GP4","GP5","GP6","GP7","GP8","GP9","GP10","GP11","GP12","GP13","GP14","GP15","GP16","GP17","GP18","GP19","GP20","SWLS1","SWLS2","SWLS3","SWLS4","SWLS5","YouProcast","OthersThinkU","DPMean","AIPMean","GPMean","SWLSMean"
"296",45,"Male","Yes Kids","deg","full-time",250000,"financial advisor",23,0,"Large-City","Italy","Married",1,1,5,5,5,5,5,1,1,1,5,4,4,2,2,2,3,1,1,1,1,2,2,3,1,5,1,1,4,1,1,1,5,1,1,1,2,3,2,4,5,1,1,1,1,1,1,"no","no",5,2.06666666666667,2.25,1
"297",55,"Other","Yes Kids","deg","full-time",150000,"manager",4,0,"Small City","Italy","Married",0,2,3,2,3,2,2,2,3,3,2,3,4,4,4,3,4,3,3,2,5,2,3,2,3,4,2,2,2,3,2,4,4,2,2,3,4,3,3,3,2,3,3,3,3,3,2,"yes","yes",2.5,3.13333333333333,2.8,2.8
"298",55,"Female","Yes Kids","ltuni","full-time",NA,"teacher",10,0,"Small Town","Italy","Divorced",0,1,4,2,3,2,2,1,1,1,2,2,3,3,1,1,1,3,2,2,1,1,5,2,2,1,3,2,4,4,4,1,4,2,1,2,3,2,3,5,4,4,4,3,2,3,2,"yes","yes",3,1.66666666666667,2.9,2.8
"299",55,"Male","Yes Kids","ma","full-time",250000,"entrepreneur",10,0,"Large-City","Italy","Married",2,0,2,2,2,2,2,5,2,2,3,3,1,2,3,1,3,1,2,1,1,5,3,1,2,1,1,5,2,5,2,1,4,2,2,2,3,3,2,2,1,2,3,2,2,3,3,"no","no",2,2.33333333333333,2.3,2.6
"300",45,"Male","No Kids","phd","full-time",150000,"financial advisor",4,0,"Large-City","Italy","Separated",0,0,3,4,4,3,3,3,2,3,3,3,4,5,3,3,4,3,2,3,1,2,3,1,3,2,3,1,3,4,3,1,4,3,1,2,3,5,3,2,2,4,5,4,3,2,4,"yes","yes",3,2.93333333333333,2.65,3.6
"301",55,"Female","No Kids","phd","retired",67500,"retired",0,3,"Large-City","Italy","Married",0,0,4,4,5,4,4,1,3,4,4,4,4,5,4,3,4,2,3,4,3,4,4,4,2,3,5,5,2,5,1,2,1,4,2,3,4,4,3,4,3,4,2,1,1,2,2,"yes","yes",4,3.46666666666667,3.25,1.6
"302",32.5,"Male","No Kids","ma","full-time",25000,"other",3,8,"Small Town","Italy","Single",0,0,3,4,2,3,3,1,2,2,3,4,5,5,3,4,4,3,2,3,1,1,4,4,3,5,3,2,3,3,3,4,3,3,2,2,4,5,3,4,5,4,2,3,2,3,3,"yes","yes",3,2.86666666666667,3.45,2.6
"303",67.5,"Male","Yes Kids","ma","retired",25000,"other",2,0,"Large-City","Italy","Separated",0,2,5,4,3,1,1,1,1,3,2,2,1,1,1,1,1,2,2,5,1,1,2,1,1,2,3,1,3,5,5,1,4,3,1,1,3,5,4,4,4,5,4,2,3,1,2,"yes","yes",3,1.66666666666667,2.9,2.4
"304",67.5,"Male","Yes Kids","phd","full-time",250000,"free professionist",30,0,"Small City","Italy","Married",1,7,3,2,3,2,2,1,1,2,1,1,4,2,3,2,2,5,5,1,1,1,3,1,3,3,2,2,1,3,3,5,5,1,5,5,4,3,2,3,4,2,1,4,4,3,3,"yes","no",2.5,2.13333333333333,3,3
"305",45,"Male","Yes Kids","ma","full-time",55000,"agronomist",10,0,"Medium-Sized","Italy","Married",1,0,2,2,2,2,3,3,3,3,4,4,4,4,1,1,5,5,5,5,5,5,5,1,5,5,5,1,5,5,1,1,5,2,3,2,1,4,3,4,1,4,4,2,1,2,3,"yes","yes",2.5,3.8,3.15,2.4
"306",19,"Female","No Kids","high","student",NA,"other",0,0,"Small Town","Italy","Single",0,0,4,5,5,4,4,2,4,2,5,5,5,5,3,5,5,1,5,5,5,2,5,4,5,5,5,5,3,5,4,5,1,5,2,3,4,5,5,4,5,3,1,3,2,1,1,"yes","yes",4,3.93333333333333,4.15,1.6
"307",55,"Male","Yes Kids","ma","student",67500,"college professor",28,0,"Large-City","Italy","Married",2,2,4,3,3,1,2,3,4,5,4,4,4,4,5,5,5,2,4,2,2,2,4,1,4,2,4,3,3,5,4,1,3,5,4,2,5,3,3,4,3,4,4,4,4,4,2,"yes","yes",3,3.66666666666667,3.35,3.6
"308",19,"Male","No Kids","high","student",NA,"other",0,0,"Small Town","Italy","Single",0,0,5,1,1,1,2,1,1,1,2,1,1,2,5,1,2,2,1,3,1,1,2,1,1,1,3,3,3,1,2,3,4,1,2,3,2,1,2,2,3,4,5,5,4,3,4,"no","yes",3.5,1.66666666666667,2.2,4.2
"309",45,"Male","No Kids","phd","full-time",35000,"other",3,0,"Large-City","Italy","Single",0,0,3,3,3,3,3,1,1,1,2,2,3,2,3,3,2,4,2,4,1,1,3,3,4,4,2,2,3,3,4,3,2,3,2,3,2,4,4,2,3,4,2,2,3,3,2,"yes","no",3,2.13333333333333,3,2.4
"310",20,"Female","No Kids","high","student",10000,"please specify",2,2,"Medium-Sized","Italy","Single",0,0,4,4,5,3,3,1,5,2,5,5,1,3,3,3,5,2,5,3,5,2,3,4,4,5,3,5,3,5,4,5,5,5,2,5,5,5,5,4,3,5,1,1,1,1,2,"yes","yes",3.5,3.33333333333333,4.25,1.2
"311",55,"Male","Yes Kids","deg","full-time",67500,"manager",7,0,"Medium-Sized","Italy","Married",1,1,2,2,4,2,2,2,4,4,2,1,2,2,5,3,2,1,3,4,2,1,2,1,2,1,4,3,3,3,2,2,3,2,3,4,3,2,2,3,2,4,4,4,4,4,4,"yes","no",2,2.53333333333333,2.55,4
"312",28,"Male","No Kids","ma","full-time",25000,"financial advisor",6,0,"Large Town","Italy","Single",0,0,3,3,2,2,2,1,1,1,3,2,3,1,2,2,2,2,2,1,2,2,3,1,2,2,1,2,1,2,2,1,1,2,1,2,3,2,1,3,3,2,2,3,3,3,1,"yes","no",2.5,1.8,1.85,2.4
"313",55,"Male","Yes Kids","dip","full-time",87500,"other",17,0,"Medium-Sized","Italy","Married",2,2,3,3,3,2,4,2,2,4,2,2,2,3,3,3,3,2,2,3,4,3,3,3,4,5,2,3,4,1,4,3,5,2,3,2,1,4,3,4,2,4,1,1,1,1,1,"yes","yes",3.5,2.66666666666667,3.1,1
"314",28,"Male","No Kids","ma","full-time",35000,"dentist",3,0,"Large-City","Italy","Single",0,0,4,4,4,4,4,2,5,2,4,5,5,4,2,5,5,3,5,4,5,5,4,4,4,4,4,2,4,5,5,5,4,4,4,4,3,4,4,2,4,2,2,3,2,2,2,"yes","yes",4,4.06666666666667,3.8,2.2
"315",45,"Male","Yes Kids","phd","full-time",150000,"manager",8,6,"Large-City","Italy","Divorced",2,0,4,5,5,3,4,5,5,5,4,5,1,5,5,1,4,5,5,5,1,4,1,3,5,5,1,4,4,5,4,2,1,4,5,4,5,5,4,4,4,4,3,4,3,4,1,"yes","yes",4,4,3.7,3
"316",21,"Female","No Kids","ltuni","student",10000,"other",0,0,"Small Town","Italy","Other",0,0,5,4,1,3,3,1,4,3,5,4,2,2,3,4,4,3,5,4,5,2,4,3,2,5,4,4,4,3,4,4,2,4,3,3,4,3,3,4,4,4,4,3,4,2,4,"yes","",4,3.4,3.55,3.4
"317",45,"Male","No Kids","grade","full-time",150000,"director",7,0,"Large-City","Italy","Single",0,0,4,4,4,3,3,3,2,2,3,3,3,4,4,3,4,3,3,3,4,3,3,2,3,3,3,2,4,3,5,4,3,4,3,3,4,3,3,4,3,3,3,3,3,3,1,"yes","yes",3.5,3.13333333333333,3.25,2.6
"318",67.5,"Male","Yes Kids","ma","retired",67500,"other",0,0,"Medium-Sized","Italy","Married",1,10,4,3,3,2,2,1,1,2,2,1,4,1,2,1,1,1,1,4,1,2,2,1,2,2,4,2,2,2,3,2,4,2,2,2,2,3,2,3,1,3,4,4,4,4,3,"yes","no",3,1.66666666666667,2.3,3.8
"319",45,"Male","Yes Kids","ma","full-time",NA,"other",2,0,"Medium-Sized","Italy","Married",2,0,4,4,4,3,3,2,2,2,3,3,3,2,3,2,2,4,3,2,2,3,3,2,2,2,2,2,2,3,3,4,4,3,2,3,3,3,3,2,3,2,3,2,3,3,2,"yes","no",3.5,2.53333333333333,2.65,2.6
"320",37.5,"Male","No Kids","ma","full-time",25000,"other",0,0,"Medium-Sized","Italy","Single",0,0,1,1,3,3,2,1,1,2,1,1,1,1,1,1,1,1,5,2,1,3,2,1,1,1,1,2,1,3,2,1,5,1,1,3,1,3,1,3,1,1,2,3,2,2,3,"no","no",1.5,1.53333333333333,1.75,2.4
"321",32.5,"Female","No Kids","ltuni","unemployed",NA,"other",0,0,"Small City","Italy","Single",0,0,4,4,4,4,4,2,4,5,5,4,5,4,4,2,5,3,3,4,1,5,4,2,3,3,4,5,4,4,4,2,3,4,3,4,4,2,3,4,5,4,4,2,1,1,5,"yes","no",4,3.73333333333333,3.55,2.6
"322",45,"Female","No Kids","deg","full-time",55000,"financial controller",7,0,"Small City","Italy","Single",0,0,5,5,5,3,3,1,4,4,5,5,4,5,5,4,5,5,5,2,5,4,5,3,4,5,4,2,4,5,4,5,5,2,4,4,5,5,4,5,4,2,1,2,1,2,1,"yes","yes",4,4.2,4.05,1.4
"323",45,"Male","No Kids","phd","full-time",67500,"attorney",17,9,"Large-City","Italy","Married",0,0,3,4,4,1,1,2,3,5,4,3,3,4,4,2,2,4,4,3,4,2,4,5,4,2,4,4,4,4,4,2,2,5,2,4,5,5,4,4,4,5,4,4,3,2,3,"yes","yes",2,3.26666666666667,3.85,3.2
"324",80,"Male","Yes Kids","ltuni","retired",250000,"other",0,0,"Medium-Sized","Italy","Married",0,5,4,4,4,2,2,1,1,3,2,2,1,1,2,2,2,1,1,3,2,1,1,1,2,1,3,1,4,3,1,1,5,1,4,5,2,4,3,4,4,3,5,4,4,5,5,"yes","yes",3,1.66666666666667,2.65,4.6
"325",67.5,"Female","Yes Kids","ltuni","retired",NA,"houswife",30,0,"Large-City","Italy","Married",0,4,5,4,4,1,1,4,2,3,3,2,2,3,3,2,1,1,2,5,1,2,4,4,1,1,3,4,2,4,2,1,3,3,3,4,4,1,2,2,3,3,4,5,2,4,2,"yes","yes",3,2.4,2.7,3.4
"326",25,"Female","No Kids","ma","student",10000,"please specify",0,4,"Medium-Sized","Italy","Single",0,0,5,4,4,2,3,2,4,5,4,3,1,5,3,3,3,3,4,5,5,1,5,2,3,3,4,4,4,5,4,3,1,4,4,3,4,4,3,3,5,5,3,3,4,3,1,"yes","yes",4,3.4,3.65,2.8
"327",28,"Female","No Kids","dip","student",NA,"other",0,0,"Small Town","Italy","Single",0,0,5,5,5,5,5,4,4,5,4,3,5,5,3,3,4,5,5,5,3,4,4,4,4,4,4,2,2,5,3,4,4,4,2,4,4,4,4,3,4,4,3,4,3,2,2,"yes","yes",5,4.13333333333333,3.65,2.8
"328",37.5,"Female","Yes Kids","phd","part-time",250000,"college professor",4,0,"Large-City","Italy","Married",1,0,4,4,4,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,1,5,4,3,3,3,3,3,3,4,4,5,3,4,3,2,5,4,4,4,4,3,3,3,3,3,2,"yes","",4,3.06666666666667,3.55,2.8
"329",28,"Male","Yes Kids","high","unemployed",55000,"other",10,0,"Medium-Sized","Italy","Single",4,3,1,1,1,1,1,5,5,5,1,1,1,1,5,1,1,5,5,5,1,1,1,1,5,5,1,5,1,5,1,1,5,1,5,5,5,1,1,5,1,5,1,1,1,1,1,"yes","yes",1,2.86666666666667,3,1
"330",28,"Female","No Kids","ltuni","full-time",15000,"teacher",14,0,"Large Town","Italy","Married",0,0,5,4,5,5,5,5,5,4,5,5,5,5,1,2,5,5,5,4,1,4,3,1,5,1,2,5,5,5,1,1,1,5,1,1,1,4,4,2,5,5,1,1,1,1,2,"yes","yes",5,4.06666666666667,2.9,1.2
"331",67.5,"Female","Yes Kids","ma","retired",87500,"president nongovernmental organization",4,6,"Large Town","Italy","Married",2,1,3,3,2,2,3,1,1,3,1,3,3,3,3,2,3,2,1,2,1,2,3,2,2,1,2,3,3,3,3,2,1,3,2,2,3,2,1,3,2,3,4,4,4,4,4,"yes","yes",3,2.06666666666667,2.3,4
"332",21,"Female","No Kids","ltuni","student",NA,"other",0,0,"Small Town","Italy","Single",0,0,3,4,4,3,3,1,1,2,3,2,1,5,3,2,4,4,2,4,1,3,4,3,2,4,2,3,3,4,3,1,3,4,2,2,5,5,4,4,5,4,3,3,3,1,2,"yes","yes",3,2.53333333333333,3.35,2.4
"333",28,"Female","No Kids","ma","student",15000,"please specify",3,0,"Large-City","Italy","Single",0,0,3,5,3,3,2,4,2,3,3,3,3,5,1,3,3,3,5,5,1,5,5,2,4,3,3,1,5,3,5,5,3,3,3,3,3,5,5,4,5,4,5,2,2,3,3,"yes","yes",2.5,3.26666666666667,3.7,3
"334",55,"Male","Yes Kids","ma","full-time",150000,"college professor",23,0,"Large-City","Italy","Married",1,1,4,4,4,4,4,2,3,3,3,3,2,4,4,4,4,5,3,4,2,4,4,3,4,3,2,4,4,4,4,3,3,4,3,4,4,4,4,4,3,4,3,3,4,4,4,"yes","yes",4,3.33333333333333,3.6,3.6
"335",22,"Female","No Kids","ltuni","student",NA,"other",0,0,"Large-City","Italy","Single",0,0,2,4,4,4,4,3,4,4,4,4,4,5,4,3,3,4,3,3,2,3,4,4,4,5,4,4,4,4,5,3,2,3,2,2,4,4,4,4,5,4,2,3,3,2,1,"yes","yes",3,3.53333333333333,3.75,2.2
"336",55,"Female","No Kids","ltuni","part-time",10000,"dance teacher",14,0,"Small City","Italy","Married",0,0,5,5,5,3,3,2,3,5,4,4,5,3,4,4,4,2,4,3,5,2,5,1,4,5,5,1,5,5,5,1,5,5,2,3,4,5,4,4,5,5,2,3,1,2,1,"yes","yes",4,3.6,3.95,1.8
"337",45,"Female","Yes Kids","ma","full-time",25000,"coordinatore operativo",10,0,"Medium-Sized","Italy","Married",1,1,1,1,1,1,1,4,5,4,4,3,5,3,4,3,3,3,4,3,5,3,4,2,4,5,4,1,1,1,3,4,1,2,2,2,4,3,3,3,2,1,5,5,5,5,4,"no","yes",1,3.73333333333333,2.6,4.8
"338",45,"Female","No Kids","ltuni","part-time",10000,"teacher",13,0,"Large-City","Italy","Married",0,0,5,5,5,3,3,2,2,5,3,3,4,4,4,4,4,2,3,2,5,2,5,1,3,5,5,2,5,5,5,3,1,5,3,3,4,5,4,5,5,5,2,3,1,3,1,"yes","yes",4,3.26666666666667,3.95,2
"339",24,"Male","No Kids","deg","student",10000,"please specify",NA,0,"Medium-Sized","Italy","Single",0,0,4,3,2,2,2,1,1,2,3,4,5,4,4,4,4,2,1,1,1,2,4,1,2,2,1,1,4,2,4,1,4,4,1,1,4,4,2,4,4,3,3,3,2,3,4,"yes","yes",3,2.6,2.65,3
"340",25,"Male","No Kids","deg","student",NA,"please specify",2,0,"Small City","Italy","Single",0,0,4,5,5,5,5,2,1,5,4,4,5,3,5,5,3,4,2,4,1,3,4,5,3,5,4,3,4,5,4,4,2,4,2,3,5,5,5,4,4,5,3,3,4,4,3,"yes","no",4.5,3.4,4,3.4
"341",37.5,"Female","No Kids","deg","student",15000,"please specify",5,0,"Medium-Sized","Italy","Single",0,0,3,3,3,2,1,2,3,2,3,3,4,3,3,2,4,1,2,2,3,3,3,3,3,4,3,3,3,2,2,2,4,2,2,1,4,3,3,3,1,2,2,3,3,2,1,"no","yes",2,2.66666666666667,2.65,2.2
"342",45,"Female","No Kids","ma","part-time",67500,"interpreter",14,0,"Large-City","Italy","Divorced",0,0,5,4,3,1,3,1,1,1,1,1,1,1,1,5,1,3,1,3,1,1,4,1,1,1,1,4,3,1,5,1,1,2,1,1,3,2,1,4,5,3,5,5,4,5,5,"no","no",4,1.53333333333333,2.25,4.8
"343",28,"Female","No Kids","high","student",10000,"please specify",28,0,"Small City","Italy","Single",0,0,4,2,4,5,3,1,1,4,3,3,1,5,3,1,3,1,1,2,1,2,4,1,1,3,1,3,2,4,1,1,2,5,1,1,3,4,3,3,5,4,4,4,3,3,4,"no","yes",3.5,2.13333333333333,2.6,3.6
"344",28,"Female","Yes Kids","ltuni","student",NA,"other",0,0,"Small City","Italy","Separated",0,1,5,5,3,2,3,4,4,4,2,5,5,5,5,5,5,3,4,4,3,5,5,4,2,5,2,5,4,3,4,2,2,5,4,4,5,3,4,5,5,4,5,1,1,1,1,"yes","yes",4,4.2,3.85,1.8
"345",37.5,"Male","Yes Kids","deg","full-time",55000,"self-employed translator",0,0,"Large-City","Italy","Married",1,0,4,2,5,3,3,2,5,4,1,3,2,5,5,3,3,4,5,3,4,2,4,1,3,4,2,3,3,5,5,4,1,4,1,2,3,4,4,4,3,4,2,3,3,2,4,"yes","yes",3.5,3.4,3.2,2.8
"346",37.5,"Male","Yes Kids","deg","full-time",NA,"other",10,0,"Rural/Country","Italy","Married",1,1,4,5,5,4,4,3,5,5,5,5,5,5,4,4,5,4,5,2,5,5,5,4,3,2,3,3,3,4,4,5,4,4,4,5,5,5,4,5,4,4,4,4,4,4,3,"yes","yes",4,4.46666666666667,4,3.8
"347",19,"Female","No Kids","ltuni","student",NA,"other",0,0,"Village","Italy","Single",0,0,4,5,1,2,2,2,4,5,4,4,2,4,5,5,5,2,5,3,5,2,5,3,3,3,3,1,5,3,5,5,2,5,3,2,5,4,4,5,3,5,3,3,3,2,3,"yes","yes",3,3.8,3.7,2.8
"348",80,"Female","Yes Kids","deg","retired",15000,"other",0,0,"Rural/Country","Italy","Widowed",4,1,3,2,1,1,1,1,1,4,1,1,1,1,3,1,1,1,2,3,1,1,2,1,3,1,4,1,1,1,2,1,2,2,1,1,3,1,1,1,1,2,5,5,5,5,4,"no","no",2,1.53333333333333,1.6,4.8
"349",55,"Male","Yes Kids","phd","full-time",150000,"other",0,0,"Small Town","Italy","Separated",2,0,3,3,1,2,2,1,1,5,3,3,4,1,3,1,3,1,2,1,2,4,4,2,2,4,1,1,4,2,4,2,2,5,1,1,3,5,2,4,3,4,3,5,4,4,2,"yes","no",2.5,2.33333333333333,2.8,3.6
"350",22,"Male","No Kids","dip","student",NA,"other",NA,0,"Small Town","Italy","Single",0,0,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,3,5,4,5,5,5,1,1,5,5,2,4,4,4,5,5,4,3,2,5,5,4,5,5,5,2,4,1,2,2,"yes","yes",4,4.33333333333333,3.95,2.2
"351",55,"Female","Yes Kids","ma","full-time",25000,"other",NA,0,"Village","Italy","Married",1,1,2,2,4,3,3,1,1,1,4,2,3,2,2,3,2,2,2,4,2,3,2,3,2,2,3,3,3,4,3,2,3,3,1,3,4,4,2,2,2,2,3,3,3,4,3,"no","no",2.5,2.26666666666667,2.65,3.2
"352",37.5,"Female","No Kids","ma","Other",NA,"other",6,0,"Rural/Country","Italy","Single",0,0,4,4,4,4,2,4,5,5,5,4,5,4,4,4,5,4,5,3,4,4,5,4,4,3,5,2,3,5,5,5,2,5,4,3,5,5,5,4,5,5,3,3,2,2,2,"yes","no",3,4.33333333333333,4.2,2.4
"353",45,"Male","No Kids","grade","unemployed",NA,"other",0,0,"Medium-Sized","Hong Kong","Married",0,0,4,5,4,4,4,1,3,2,4,5,5,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,3,4,4,3,4,3,4,4,4,4,4,4,4,2,2,2,3,1,"yes","yes",4,3.53333333333333,3.8,2
"354",37.5,"Female","No Kids","ma","unemployed",10000,"other",0,0,"Large-City","Hong Kong","Divorced",0,0,3,3,4,3,3,2,2,4,3,3,3,3,3,2,2,4,3,4,3,4,3,3,3,3,2,3,2,4,3,3,4,3,4,2,3,4,3,4,3,4,3,4,3,4,3,"yes","yes",3,3,3.15,3.4
"355",23,"Female","No Kids","deg","full-time",25000,"other",1,4,"Large-City","Hong Kong","Single",0,0,5,4,3,4,2,5,5,5,5,5,1,5,5,1,1,5,5,5,5,5,5,5,4,4,2,3,5,4,5,5,1,5,5,5,5,5,5,5,5,4,3,4,4,4,5,"yes","yes",3.5,4.2,4.35,4
"356",32.5,"Female","No Kids","deg","full-time",67500,"other",8,0,"Village","Hong Kong","Single",0,0,3,4,4,3,3,2,2,4,4,2,1,4,3,2,4,3,4,4,4,3,4,4,3,4,2,2,4,3,4,5,3,4,5,2,3,5,4,4,5,4,3,3,2,2,2,"yes","yes",3,3.06666666666667,3.7,2.4
"357",25,"Male","No Kids","deg","full-time",10000,"other",NA,0,"Village","Hong Kong","Other",0,0,4,4,4,4,4,4,4,4,5,4,5,4,2,3,5,3,4,4,3,3,3,3,3,3,3,3,3,2,4,4,2,4,2,2,2,4,4,2,4,2,3,3,3,3,2,"yes","no",4,3.8,2.95,2.8
"358",55,"Male","No Kids","phd","full-time",150000,"other",9,0,"Rural/Country","Hong Kong","Other",0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"yes","no",3,3,3,3
"359",45,"Female","No Kids","deg","full-time",150000,"other",9,0,"Village","Hong Kong","Married",0,0,4,4,4,4,4,3,1,3,3,3,3,3,3,2,3,3,1,3,1,5,4,3,3,3,3,3,5,3,4,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,"yes","yes",4,2.66666666666667,3.15,3
"360",28,"Male","No Kids","phd","full-time",35000,"research scientist",1,0,"Large-City","Ireland","Married",0,0,3,2,3,1,1,1,1,2,1,1,5,2,3,2,2,2,1,2,1,1,2,1,1,1,3,1,3,3,3,1,1,3,3,2,3,4,2,3,4,1,5,5,5,5,5,"yes","no",2,1.8,2.25,5
"361",45,"Male","Yes Kids","dip","unemployed",15000,"disability allowance",7,0,"Large-City","Ireland","Separated",2,1,5,4,5,4,4,5,3,5,1,5,1,4,5,5,5,2,5,4,4,4,5,1,5,5,4,4,5,4,5,4,3,4,4,5,3,4,4,5,5,5,3,3,3,3,4,"yes","yes",4.5,3.86666666666667,4.2,3.2
"362",67.5,"Male","Yes Kids","high","retired",45000,"retired",10,6,"Rural/Country","Ireland","Married",1,7,4,5,5,4,4,5,1,5,4,4,2,5,5,5,5,2,1,1,1,4,5,4,2,1,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,2,4,4,4,1,"yes","yes",4,3.33333333333333,4.45,3
"363",28,"Male","No Kids","deg","full-time",55000,"doctor; physician",3,0,"Large-City","Ireland","Single",0,0,4,3,4,4,4,3,2,3,4,4,5,4,4,5,5,4,2,4,2,4,5,2,4,5,4,3,4,4,4,5,2,4,3,4,4,5,5,5,5,4,3,4,3,3,1,"yes","no",4,3.66666666666667,4.05,2.8
"364",22,"Male","No Kids","ma","part-time",15000,"sales expert",3,0,"Small City","Ireland","Single",0,0,4,3,4,3,3,2,3,3,4,3,5,4,5,5,5,3,3,4,3,2,4,4,3,5,5,4,5,5,5,4,4,5,3,2,4,4,4,5,4,4,1,1,1,2,1,"yes","no",3.5,3.6,4.15,1.2
"365",32.5,"Female","No Kids","ma","student",35000,"other",4,0,"Village","Ireland","Single",0,0,4,4,2,3,3,1,1,4,3,4,2,4,4,4,4,3,2,4,2,4,4,2,3,2,4,3,4,3,4,2,3,4,2,3,4,3,4,4,4,4,2,3,2,2,2,"yes","yes",3.5,3.06666666666667,3.3,2.2
"366",24,"Female","No Kids","deg","full-time",35000,"other",1,0,"Village","Ireland","Single",0,0,4,4,4,4,4,4,1,2,2,2,3,4,2,2,2,3,2,4,2,3,3,3,3,4,5,4,4,4,4,2,3,3,4,4,4,4,4,4,4,3,2,3,2,2,2,"yes","yes",4,2.53333333333333,3.65,2.2
"367",67.5,"Male","Yes Kids","ma","retired",35000,"other",0,0,"Small Town","Ireland","Divorced",1,1,2,2,4,2,2,3,3,5,3,3,1,2,3,2,2,3,4,3,2,1,3,3,3,4,2,2,2,4,3,2,4,2,3,3,3,2,2,3,2,4,4,4,4,4,4,"no","no",2,2.66666666666667,2.8,4
"368",23,"Female","No Kids","deg","student",10000,"other",2,0,"Large-City","Ireland","Single",0,0,5,5,5,4,4,1,2,2,1,4,4,3,4,2,4,5,2,5,1,3,5,3,4,5,3,5,4,4,4,2,4,4,1,4,5,4,4,5,5,5,1,1,2,1,1,"yes","no",4.5,2.86666666666667,4,1.2
"369",37.5,"Male","No Kids","phd","full-time",55000,"other",0,6,"Village","Ireland","Single",0,0,3,4,3,3,3,2,3,2,3,4,4,4,4,4,4,2,4,3,4,4,4,3,3,4,3,3,4,3,4,3,4,5,2,4,4,3,3,4,3,5,2,3,2,3,2,"yes","yes",3,3.4,3.55,2.4
"370",23,"Female","No Kids","ma","student",15000,"other",1,0,"Village","Ireland","Single",0,0,4,5,3,5,5,5,5,5,5,4,3,5,5,3,5,4,5,5,5,5,5,5,5,5,1,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,1,"yes","yes",4.5,4.6,4.7,3.8
"371",37.5,"Female","Yes Kids","lthigh","full-time",NA,"other",6,0,"Rural/Country","Ireland","Widowed",1,2,5,5,3,2,3,3,3,4,5,5,5,5,4,3,5,2,4,5,5,5,5,3,3,2,5,3,5,3,5,3,3,5,4,3,4,5,5,4,5,4,3,4,3,4,3,"yes","yes",4,4.2,3.95,3.4
"372",55,"Female","Yes Kids","deg","part-time",25000,"other",5,6,"Small Town","Ireland","Married",2,0,3,2,2,1,1,1,1,3,1,2,4,1,3,1,2,2,1,2,1,3,5,1,1,2,2,3,5,3,5,1,3,4,3,2,3,2,1,4,5,4,4,4,4,5,4,"yes","no",2,1.86666666666667,2.95,4.2
"373",45,"Male","No Kids","ltuni","part-time",55000,"other",5,0,"Other","Ireland","Married",0,0,5,2,2,1,1,1,1,5,1,1,1,1,4,5,3,1,1,5,1,1,5,1,5,5,2,4,5,4,5,1,1,5,3,4,4,2,2,5,1,5,1,1,1,3,3,"yes","no",3,2.13333333333333,3.45,1.8
"374",45,"Male","No Kids","ma","full-time",150000,"other",7,0,"Village","Ireland","Married",0,0,2,1,2,1,1,1,1,1,1,3,2,1,2,1,2,3,1,2,1,1,2,1,2,2,2,1,1,2,3,1,1,3,1,2,3,4,2,3,3,3,3,4,3,4,4,"no","no",1.5,1.53333333333333,2.1,3.6
"375",45,"Female","Yes Kids","deg","full-time",67500,"other",6,0,"Village","Ireland","Separated",2,3,3,3,3,2,2,1,1,1,4,3,5,3,2,3,2,3,3,2,2,2,3,1,2,3,5,2,2,2,3,2,3,3,2,4,2,3,2,4,3,3,2,2,1,1,2,"yes","no",2.5,2.46666666666667,2.7,1.6
"376",25,"Male","No Kids","ma","full-time",35000,"other",1,2,"Village","Ireland","Single",0,0,4,4,4,3,3,2,4,4,5,4,3,5,4,2,4,4,4,4,4,4,4,3,3,5,2,4,4,4,4,4,4,4,3,3,4,5,4,5,5,5,2,3,2,1,3,"yes","yes",3.5,3.8,3.95,2.2
"377",32.5,"Female","No Kids","ltuni","full-time",35000,"other",1,0,"Other","Ireland","Married",0,0,5,5,5,5,5,1,1,1,5,4,5,5,4,3,5,1,1,1,5,3,5,1,2,3,2,3,5,5,5,4,5,5,1,1,4,2,1,4,4,3,3,3,3,3,3,"yes","yes",5,3,3.25,3
"378",23,"Female","No Kids","deg","full-time",25000,"other",0,7,"Large Town","Ireland","Single",0,0,4,5,5,2,2,1,1,5,4,2,4,5,4,1,3,4,2,3,2,4,4,3,1,5,4,3,4,4,5,1,2,4,2,4,4,3,2,4,5,4,4,4,3,3,3,"yes","yes",3,3,3.4,3.4
